"","UF","X","Codigo","Instituicao","Nome","Nível","Situação","A1998","A2001","A2004","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2017","DNome","DNível","DSituação","DA1998","DA2001","DA2004","DA2007","DA2008","DA2009","DA2010","DA2011","DA2012","DA2013","DA2014","DA2017","SigladaIES","MUNICIPIO","Tipo","Regiao","Estado","Capital","SiglaRegigao"
"38","SC",46,"41001010001P6","UNIVERSIDADE FEDERAL DE SANTA CATARINA","MATEMÁTICA PURA E APLICADA","Mestrado","EM FUNCIONAMENTO",3,4,4,4,4,4,4,4,4,4,4,5,"Curso de Doutorado em Matemática Pura e Aplicada","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,"UFSC","Florianópolis","Publica","Sul","Santa Catarina","Florianópolis","S"
"39","SE",14,"27001016032P5","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","Matemática","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FUFSE","São Cristóvão","Publica","Nordeste","Sergipe","Aracaju","NE"
"40","SP",30,"33001014007P8","UNIVERSIDADE FEDERAL DE SÃO CARLOS","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,5,5,4,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,5,5,4,"UFSCAR","São Carlos","Publica","Sudeste","São Paulo","São Paulo","SE"
"41","SP",31,"33001014045P7","UNIVERSIDADE FEDERAL DE SÃO CARLOS","Mestrado em Estatística - UFSCAR/USP","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,"Doutorado em Estatística - UFSCAR/USP","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,"UFSCAR","São Carlos","Publica","Sudeste","São Paulo","São Paulo","SE"
"42","SP",32,"33002010005P1","UNIVERSIDADE DE SÃO PAULO","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",5,6,6,6,6,6,6,6,6,6,6,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",5,6,6,6,6,6,6,6,6,6,6,5,"USP","São Paulo","Publica","Sudeste","São Paulo","São Paulo","SE"
"43","SP",33,"33002010006P8","UNIVERSIDADE DE SÃO PAULO","MATEMÁTICA APLICADA","Mestrado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,4,4,5,"MATEMÁTICA APLICADA","Doutorado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,4,4,5,"USP","São Paulo","Publica","Sudeste","São Paulo","São Paulo","SE"
"44","SP",34,"33002010007P4","UNIVERSIDADE DE SÃO PAULO","ESTATÍSTICA","Mestrado","EM FUNCIONAMENTO",7,7,6,7,7,7,7,7,7,7,7,6,"ESTATÍSTICA","Doutorado","EM FUNCIONAMENTO",7,7,6,7,7,7,7,7,7,7,7,6,"USP","São Paulo","Publica","Sudeste","São Paulo","São Paulo","SE"
"45","SP",35,"33002045003P5","UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS )","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",5,5,5,6,6,6,6,6,6,7,7,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",5,5,5,6,6,6,6,6,6,7,7,7,"USP/SC","São Carlos","Publica","Sudeste","São Paulo","São Paulo","SE"
"46","SP",36,"33003017003P5","UNIVERSIDADE ESTADUAL DE CAMPINAS","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",6,6,7,7,7,7,7,7,7,7,7,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",6,6,7,7,7,7,7,7,7,7,7,7,"UNICAMP","Campinas","Publica","Sudeste","São Paulo","São Paulo","SE"
"47","SP",37,"33003017004P1","UNIVERSIDADE ESTADUAL DE CAMPINAS","MATEMÁTICA APLICADA","Mestrado","EM FUNCIONAMENTO",5,6,6,5,5,5,6,6,6,6,6,6,"MATEMÁTICA APLICADA","Doutorado","EM FUNCIONAMENTO",5,6,6,5,5,5,6,6,6,6,6,6,"UNICAMP","Campinas","Publica","Sudeste","São Paulo","São Paulo","SE"
"48","SP",38,"33003017006P4","UNIVERSIDADE ESTADUAL DE CAMPINAS","ESTATÍSTICA","Mestrado","EM FUNCIONAMENTO",4,4,4,4,4,4,5,5,5,5,5,5,"ESTATÍSTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,4,4,4,4,5,5,5,5,5,5,"UNICAMP","Campinas","Publica","Sudeste","São Paulo","São Paulo","SE"
"49","SP",39,"33004129046P9","UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( PRESIDENTE PRUDENTE )","MATEMÁTICA APLICADA E COMPUTACIONAL","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,3,3,3,4,4,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNESP-PP","Presidente Prudente","Publica","Sudeste","São Paulo","São Paulo","SE"
"50","SP",40,"33004153071P0","UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( SÃO JOSÉ DO RIO PRETO )","MATÉMATICA","Mestrado","EM FUNCIONAMENTO",4,4,4,4,4,4,4,4,4,5,5,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,4,4,4,4,4,5,5,5,"UNESP-SJRP","São José do Rio Preto","Publica","Sudeste","São Paulo","São Paulo","SE"
"51","SP",41,"33009015092P6","UNIVERSIDADE FEDERAL DE SÃO PAULO","Matemática Pura e Aplicada","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNIFESP","São Paulo","Publica","Sudeste","São Paulo","São Paulo","SE"
"52","SP",42,"33144010002P3","UNIVERSIDADE FEDERAL DO ABC","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,3,3,3,3,3,4,4,4,"Matemática","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,"UFABC","Santo André","Publica","Sudeste","São Paulo","São Paulo","SE"
